Yorum,Duygu,Temizlenmis_Yorum,Temizlenmis_Yorum_Stopless,Lemmatize_Yorum
Geleceği düşünmek beni her geçen gün daha fazla kaygılandırıyor.,kaygılı,geleceği düşünmek beni geçen gün fazla kaygılandırıyor,geleceği düşünmek beni geçen gün fazla kaygılandırıyor,gelecek düşün ben geçen gün fazla kaygılan
Uyandığımda içimde bir tedirginlik oluyor.,kaygılı,uyandığımda içimde tedirginlik oluyor,uyandığımda içimde tedirginlik oluyor,uyan içim tedirgin ol
Sabahları uyanmak bile artık içimde büyük bir endişe yaratıyor.,kaygılı,sabahları uyanmak bile artık içimde büyük endişe yaratıyor,sabahları uyanmak içimde büyük endişe yaratıyor,sabah uyan bile artık içim büyük endişe yarat
Uyandığımda içimde bir tedirginlik oluyor.,kaygılı,uyandığımda içimde tedirginlik oluyor,uyandığımda içimde tedirginlik oluyor,uyan içim tedirgin ol
Sınav günü yaklaştıkça kalbim yerinden çıkacak gibi oluyor.,kaygılı,sınav günü yaklaştıkça kalbim yerinden çıkacak oluyor,sınav günü yaklaştıkça kalbim yerinden çıkacak oluyor,sınav gün yaklaş kalp yer çık ol
Başkalarının fikirleri beni çok etkiliyor.,kaygılı,başkalarının fikirleri beni etkiliyor,başkalarının fikirleri beni etkiliyor,başka fikir ben etkile
İş yerindeki performans baskısı yüzünden sürekli diken üzerindeyim.,kaygılı,i̇ş yerindeki performans baskısı yüzünden sürekli diken üzerindeyim,i̇ş yerindeki performans baskısı sürekli diken üzerindeyim,UNK yer performans baskı yüz sürekli diken üzeri
Bazen kaygının nedenini bile bilmiyorum ama içim rahat değil.,kaygılı,bazen kaygının nedenini bile bilmiyorum içim rahat değil,bazen kaygının nedenini bilmiyorum içim rahat değil,bazen kaygı neden bile bil içim rahat değil
Bir şeyleri kaçırıyormuşum hissi beni yiyor bitiriyor.,kaygılı,şeyleri kaçırıyormuşum hissi beni yiyor bitiriyor,şeyleri kaçırıyormuşum hissi beni yiyor bitiriyor,şey kaçır hissi ben ye bitir
Kafamın içi hiç durmadan konuşuyor.,kaygılı,kafamın içi durmadan konuşuyor,kafamın içi durmadan konuşuyor,kafa iç dur konuş
